,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
145755,25,Sinaloa,966,Culiacán,616,304,312,"24°14'41.112"" N","107°08'38.890"" W"
145756,25,Sinaloa,968,Culiacán,315,156,159,"24°15'24.998"" N","107°07'39.961"" W"
145757,25,Sinaloa,969,Culiacán,413,203,210,"24°51'56.823"" N","107°24'36.992"" W"
145758,25,Sinaloa,975,Culiacán,162,78,84,"24°34'07.295"" N","107°17'28.376"" W"
145759,25,Sinaloa,976,Culiacán,6,1,5,"24°35'03.893"" N","107°08'19.104"" W"
145760,25,Sinaloa,977,Culiacán,504,257,247,"24°35'27.442"" N","107°10'56.919"" W"
145761,25,Sinaloa,980,Culiacán,54,25,29,"24°38'08.840"" N","107°07'13.219"" W"
145762,25,Sinaloa,982,Culiacán,214,100,114,"24°24'01.068"" N","107°17'26.252"" W"
145763,25,Sinaloa,983,Culiacán,201,102,99,"24°10'27.207"" N","107°06'06.559"" W"
145764,25,Sinaloa,985,Culiacán,569,276,293,"24°10'53.778"" N","107°02'23.772"" W"
145765,25,Sinaloa,993,Culiacán,302,158,144,"24°20'14.847"" N","107°19'02.252"" W"
145766,25,Sinaloa,997,Culiacán,266,128,138,"24°15'36.750"" N","107°19'07.594"" W"
145767,25,Sinaloa,999,Culiacán,88,47,41,"24°13'01.298"" N","107°13'45.277"" W"
145768,25,Sinaloa,1003,Culiacán,143,71,72,"24°10'27.058"" N","107°09'15.390"" W"
145769,25,Sinaloa,1028,Culiacán,5,*,*,"24°52'47.886"" N","107°28'52.967"" W"
145770,25,Sinaloa,1030,Culiacán,6,*,*,"24°52'12.065"" N","107°28'05.225"" W"
145771,25,Sinaloa,1033,Culiacán,4,*,*,"24°53'25.588"" N","107°29'26.288"" W"
145772,25,Sinaloa,1041,Culiacán,246,109,137,"24°29'43.887"" N","107°14'23.009"" W"
145773,25,Sinaloa,1042,Culiacán,1030,503,527,"24°29'40.265"" N","107°18'42.718"" W"
145774,25,Sinaloa,1044,Culiacán,609,309,300,"24°21'57.590"" N","107°31'48.276"" W"
145775,25,Sinaloa,1061,Culiacán,644,329,315,"24°59'48.129"" N","107°34'23.437"" W"
145776,25,Sinaloa,1062,Culiacán,639,312,327,"24°30'38.451"" N","107°23'13.651"" W"
145777,25,Sinaloa,1063,Culiacán,146,63,83,"24°32'48.820"" N","107°17'20.375"" W"
145778,25,Sinaloa,1064,Culiacán,6,*,*,"24°43'26.386"" N","107°14'20.190"" W"
145779,25,Sinaloa,1083,Culiacán,128,55,73,"24°36'55.066"" N","107°09'33.218"" W"
145780,25,Sinaloa,1084,Culiacán,156,76,80,"24°34'06.282"" N","107°04'35.224"" W"
145781,25,Sinaloa,1095,Culiacán,874,434,440,"24°27'57.361"" N","107°22'58.326"" W"
